,keywords
0,"['همه گیری', ' کووید- ۱۹ ', ' آسیب پذیری اقتصادی', ' مدل انتقال ملایم پانلی', ' سطوح درآمدی']"
1,"['اقتصاد ایران', ' سوءتخصیص', ' سرمایه ی فیزیکی', ' کارگاه های صنعتی']"
2,"['رشد اقتصادی', ' انتشار دی اکسید کربن', ' مصرف انرژی', ' معادلات همزمان', ' الگوی فضایی']"
3,"['الگوی تعادل عمومی پویای تصادفی', ' سیاست های پولی', ' مکانیسم انتقال پولی', ' منابع نقدینگی']"
4,"['ارزش افزوده بخش کشاورزی', ' ریسک تغییرات اقلیم', ' شاخص عملکرد تغییر اقلیم', ' روش رگرسیون چندکی']"
5,"['کلیدواژه ها: بازار مالی', ' بحران مالی', ' نظام بانکی']"
6,"['تغییرات اقلیمی', ' اقتصاد رفتاری', ' سوگیری شناختی', ' تلنگر', ' سوگیری تنزیل هذلولی', ' سوگیری زیان گریزی', ' اثر قالب بندی']"
7,"['تحریم های اقتصادی', ' عرضه مسکن', ' تقاضای مسکن', ' نرخ ارز', ' ایران']"
8,"['بازار رمزارزها', ' تجزیه مود متغیر', ' توابع کاپولا', ' شاخص سهام', ' وابستگی ساختاری']"
9,"['حالت های سفر', ' شبکه معابر', ' شهر اصفهان', ' مورفولوژی شهری']"
10,"['امنیت انرژی', ' بلایای طبیعی', ' حداقل مربعات کاملا اصلاح شده']"
11,"['اقتصاد رفتاری', ' اقتصاد مسکن', ' قیمت مسکن', ' تورم']"
12,"['نابرابری درآمدی', ' ضریب جینی', ' اشتغال در بخش خدمات', ' توزیع ناعادلانه', ' استان های ایران']"
13,"['تجارت بین المللی', ' مناطق اقتصادی', ' نظریه وابستگی به منابع', ' نظریه شبکه پیچیده']"
14,"['رشد واردات – تولید', ' رشد صادرات - تولید', ' علیت غیرخطی', ' رویکرد غیرخطی MS-VAR']"
15,"['اقتصاد ایران', ' تأمین اجتماعی', ' تکافل', ' روش گشتاورهای تعمیم یافته', ' نابرابری اقتصادی']"
16,"['اقتصاد شهری', ' جرم و جنایت', ' بیکاری', ' اقتصادسنجی فضایی', ' ایران']"
17,"['نسبت چشم پوشی', ' بدهی دولت', ' هدف گذاری تورم', ' شفافیت سیاست های پولی', ' مدل رگرسیون انتقال ملایم']"
18,"['آلودگی هوا', ' الگوی رشد درون زا', ' رویکرد بیزین', ' کارایی انرژی']"
19,"['حساسیت اضافی مصرف', ' شمول مالی', ' محدودیت نقدینگی', ' هموارسازی مصرف']"
20,"['جمهوری اسلامی ایران', ' فقر', ' مکانیسم تعامل']"
21,"['بحران ارزی', ' سیستم هشدار زودهنگام', ' الگوی پروبیت']"
22,"['الگوهای خودتوزیع با وقفه های گسترده خطی (ARDL) و غیر خطی (NARDL) ', ' نفرین منابع مالی', ' توسعه مالی', ' رانت منابع']"
23,"['شاخص پیشرفت اجتماعی', ' تولید ناخالص داخلی سرانه', ' درون زایی', ' سیستم معادلات همزمان', ' روش حداقل مربعات سه مرحله ای (۳ SLS)']"
24,"['ارزیابی سیاست', ' مشوقهای مالیاتی', ' تحقیق و توسعه', ' مدلهای رگرسیون کسری', ' سیاست مالی']"
25,"['سرمایه گذاری مستقیم خارجی', ' پنل دیتا', ' جرم']"
26,"['پویایی های قیمت نفت', ' سیاست مالی', ' متغیرهای کلان اقتصادی', ' همدوسی موجک جزئی']"
27,"['فناوری اطلاعات و ارتباطات (ICT) ', ' ردپای اکولوژیکی سرانه', ' تولید ناخالص داخلی سرانه', ' شاخص پیچیدگی اقتصادی', ' روش گشتاورهای تعمیم یافته']"
28,"['صنعت گردشگری', ' ریسک سیاسی', ' نرح ارز', ' نرخ تورم', ' QARDL', ' NARDL']"
29,"['TVP-VAR', ' نوسانات تصادفی', ' تولیدناخالص داخلی واقعی غیرنفتی', ' ردپای بوم شناختی']"
30,"['پیچیدگی اقتصادی', ' ردپای اکولوژیکی', ' رشد اقتصادی', ' کشورهای اوپک', ' روش گشتاورهای تعمیم یافته']"
31,"['توسعۀ پایدار', ' پویایی شناسی سیستم ها']"
32,"['تجارت خارجی', ' نرخ ارز', ' رشد اقتصادی', ' تورم']"
33,"['ارز دیجیتال ملی', ' پویایی سیستم', ' سیاست های پولی']"
34,"['مالیات محلی', ' عوارض شهروندی', ' اندازۀ بهینۀ شهر', ' کلان شهرهای ایران']"
35,"['مدل سازی اقتصادی', ' بازار برق', ' شبکه تبادل برق', ' یکپارچگی منطقه ای', ' ایران و همسایگان غربی']"
36,"[': جهانی شدن', ' فساد', ' مدل انتقال ملایم آستانه ای پانلی', ' کشورهای عضو سازمان کنفرانس اسلامی']"
37,"['تابع واکنش بانک مرکزی', ' سیاست ارزی ایران', ' سیاست ارزی ترکیه', ' سیاست ارزی مکزیک']"
38,"['پیش بینی', ' عرضه نیروی کار', ' تقاضای نیروی کار', ' نرخ مشارکت', ' جمعیت']"
39,"['کارآفرینی', ' اشتغال', ' اثرات فضایی', ' استان های ایران']"
40,"['گردشگری', ' آسیب پذیری اقتصادی', ' کشورهای درحال توسعه', ' PSTR']"
41,"['پیچیدگی اقتصادی', ' مصرف انرژی تجدیدپذیر', ' انتشار دی اکسید کربن', ' آلودگی زیست محیطی', ' کشورهای در حال توسعه']"
42,"['صادرات', ' مقررات زیست محیطی', ' حاکمیت قانون', ' کیفیت مقررات', ' کشورهای در حال توسعه', ' کالاهای مدیریت کننده آلودگی']"
43,"['شوک های قیمت نفت', ' نرخ یافتن شغل', ' نرخ ورود به بیکاری']"
44,"['تنوع شرکای تجاری', ' خودرگرسیون برداری ساختاری (SVAR) ', ' اقتصاد ایران', ' نظریه لوکوموتیو']"
45,"['خلق پول', ' حاکمیت قانون', ' کیفیت مقررات', ' مدل رویکرد آستانه ای پانل']"
46,"[': اپیدمی کووید ۱۹ ', ' شاخص بازده سهام', ' بازارهای مالی', ' همبستگی شرطی ثابت', ' همبستگی شرطی پویا']"
47,"['بیماری همه گیر', ' ریسک فاجعه سلامت', ' مخارج سلامت عمومی', ' تعادل عمومی تصادفی پویا', ' کینزی جدید.']"
48,"['مدل داده ستانده', ' سرمایه', ' اقتصاد منطقه ای', ' روش چارم']"
49,"['هدفمندسازی یارانه ها', ' خانوارهای روستایی', ' اطلاعات ناقص و محدودیت بودجه', ' روش بهینه سازی عددی']"
50,"['بهره وری نیروی کار', ' تحلیل داده-ستانده', ' تحلیل تجزیه ساختاری', ' تجارت خارجی']"
51,"['ارز دیجیتال', ' انرژی', ' بیت کوین', ' پویایی سیستم', ' محیط زیست']"
52,"['سالخوردگی جمعیت', ' آلودگی هوا', ' روش گشتاورهای تعمیم یافته در سری های زمانی']"
53,"[': بودجه', ' بودجه ریزی', ' بودجه تملک دارایی های سرمایه ای', ' بشکه گوشت خوک']"
54,"['جدول داده-ستانده (IO) ', ' توان اشتغال زایی', ' روش سنتی', ' روش حذف فرضی ملر و مارفان', ' روش اصلاح شده حذف فرضی ملر و مارفان']"
55,"['شاخص پیچیدگی اقتصادی', ' تولید ناخالص داخلی', ' تئوری O-ring', ' روش خودرگرسیون برداری بیزین (BVAR)']"
56,"['رشد اقتصادی', ' توان خانوار در مواجهه با ریسک', ' کمک های رسمی توسعه ای', ' باز بودن تجاری', ' تحلیل مؤلفه های اصلی', ' رگرسیون انتقال ملایم']"
57,"['اقتصاد سیاسی تورم', ' تورم', ' سطح تحلیلی توسعه', ' تولید محوری']"
58,"['حسابداری ملی', ' به هنگام سازی', ' حساب های مالی', ' صادرات', ' ایران']"
59,"['برده داری', ' آسیب پذیری', ' کار اجباری', ' ازدواج اجباری', ' منطق فازی']"
60,"['همگرایی', ' شاخص فلاکت', ' اقتصادسنجی فضایی', ' بی انضباطی پولی']"
61,"['شاخص توسعه انسانی', ' شاخص توسعه سیاسی', ' ردپای اکولوژیکی', ' فرضیه کوزنتس زیست محیطی', ' گشتاورهای تعمیم یافته سیستمی']"
62,"['خصوصی سازی', ' آلودگی محیط زیست', ' روش خود رگرسیون برداری با پارامترهای قابل تغییر طی زمان', ' ایران']"
63,"['صندوق سرمایه گذاری', ' بازار سرمایه', ' رشد اقتصادی', ' بازار اولیه', ' مدل گشتاور های تعمیم یافته (GMM)']"
64,"['خدمات مالی', ' رشد اقتصادی', ' رفاه اجتماعی', ' مالیات', ' مدل تعادل عمومی قابل محاسبه']"
65,"['گردشگری', ' سرمایه گذاری مستقیم خارجی', ' نرخ ارز', ' روش خودرگرسیونی با وقفه های توزیعی غیرخطی']"
66,"['فسادمالی', ' پولشویی', ' جنسیت', ' ادیان', ' دولت']"
67,"['سیستم بانکی', ' سودآوری بانک', ' مدیریت ریسک', ' شاخص تمرکز']"
68,"['سیاست پولی', ' نرخ بهره', ' نقدینگی', ' حباب قیمت بازار سهام', ' روش خودرگرسیون برداری با پارامتر متغیر در زمان']"
69,"['آسیب پذیری و تاب آوری اقتصادی', ' توسعه پایدار', ' نظریه گراف', ' الگوریتم تارجان', ' شاخص ترکیبی']"
70,"['بارش', ' تولید', ' آب زیرزمینی', ' الگوهای پویا', ' ناامنی غذایی']"
71,"['شاخص فقر چند بعدی', ' تحلیل فقر چند بعدی', ' روش الکایر- فوستر', ' فقر چند بعدی کودکان']"
72,"['الگوی تعادل عمومی پویای تصادفی', ' اقتصاد باز', ' سیاست های پولی', ' متغیرهای کلان اقتصاد ایران']"
73,"['سیاست پولی', ' توزیع درآمد و ثروت', ' مدل سازی عامل بنیان']"
74,"['توسعه دولت الکترونیک', ' بهره وری نیروی کار', ' کشورهای در حال توسعه', ' خودرگرسیون برداری با داده های پنلی']"
75,"['آزادسازی تجاری', ' نرخ بیکاری', ' رقابت استانی', ' اقتصادسنجی فضایی']"
76,"['مدل داده-ستانده نیمه بسته درونزا', ' مصرف خانوار', ' فیلتر کالمن']"
77,"['تغییرات سا ختاری', ' نابرابری', ' هکشر- اوهلین', ' مزیت نسبی']"
78,"['شبکه', ' بهینه سازی', ' زنجیره تأمین سبز', ' فرآوری آبزیان']"
79,"['تسهیلات بانکی', ' مطالبات غیرجاری', ' ریسک اعتباری', ' مدل داده های پانل سه بعدی']"
80,"['تاب آوری بانکی', ' ثبات بانکی', ' سودآوری بانکی', ' کارآیی بانکی']"
81,"['مدل های تصمیم گیری چند معیاره (MADM) ', ' یارانه انرژی', ' شاخص توسعه پایدار', ' رویکرد TOPSIS', ' رویکرد VIKOR']"
82,"['نظام بازنشستگی ایران', ' ناترازی مالی', ' توابع واکنش آنی', ' اصلاحات پارامتریک']"
83,"['تحریم های مالی', ' مدل ور بیزی (خود رگرسیون برداری بیزی) ', ' تابع پیشین جستجوی تصادفی انتخاب متغیر در مدل های خود رگرسیون برداری', ' متغیرهای کلان اقتصادی']"
84,"['مدل کلان سنجی داده های ترکیبی با تواتر متفاوت', ' اقتصاد ایران', ' تحریم', ' سیاست ارزی']"
85,"['تحریم', ' درآمد نفتی', ' درجه عبور نرخ ارز', ' تورم', ' نرخ ارز']"
86,"['بخش های کلیدی', ' برنامه ریزی منطقه ای', ' رشد اقتصادی', ' مدل داده - ستانده', ' استان یزد']"
87,"['بهره وری کل عوامل', ' صادرات با فناوری متوسط و پیشرفته', ' کشورهای در حال توسعه و توسعه یافته', ' رویکرد PSTR']"
88,"['ردپای اکولوژیکی', ' رشد اقتصادی', ' انرژی های تجدیدپذیر', ' انرژی های تجدیدناپذیر']"
89,"['انتشار دی اکسید کربن', ' نااطمینانی سیاست اقتصادی', ' قیمت نفت', ' روش خودرگرسیونی با وقفه های توزیعی غیرخطی']"
90,"['رقابت', ' قدرت بازار', ' بازار برق', ' رشد اقتصادی پایدار']"
91,"['نظام بازنشستگی', ' مدل DSGE', ' بیماری های نوپدید', ' سالمندی جمعیت', ' توابع واکنش آنی']"
92,"['صنعت بیمه', ' ثبات مالی', ' متغیرهای کلان اقتصادی', ' مارکوف سوئیچینگ']"
93,"['تقاضای پول', ' جانشینی پول', ' نااطمینانی تورم', ' ARDL']"
94,"['توسعه مالی', ' بی ثباتی مالی', ' رشد اقتصادی', ' گشتاور تعمیم یافته سیستمی', ' خاورمیانه']"
95,"['سیاست مالی', ' درآمدها و مخارج دولت', ' علیت تودا-یاماموتو', ' همبستگی موجک', ' اختلاف فاز']"
96,"['سیاست ارزترجیحی', ' مناطق شهری', ' مصرف مواد غذایی', ' مدل ARDL-PANEL']"
97,"['آینده پژوهی', ' کسب و کارهای کوچک', ' فضای کسب و کار', ' PESTEL', ' تایدا']"
98,['سرمایه دانش بنیان- صنایع کارخانه ای – تحلیل عاملی اکتشافی']
99,"['آموزش', ' توسعه پایدار', ' آرلانو- باور / بوندل – باند دومرحله ای', ' SGMM-DPD فضایی دوربین']"
100,"['آسیب پذیری ساختاری اقتصادی', ' سرمایه گذاری مستقیم خارجی', ' ایران', ' کشورهای منطقه منا', ' گشتاورهای تعمیم یافته']"
101,"['رشد سبز', ' مصرف انرژی اولیه', ' انتشار دی اکسیدکربن', ' تحلیل داده - ستانده انرژی']"
102,"['نرخ ارز حقیقی', ' تراز تجاری', ' مدل رگرسیون گذار ملایم', ' شاخص تجارت دورن صنعتی']"
103,"['رفاه', ' پایداری', ' شاخص رفاه پایدار', ' اثر آستانه ای', ' رگرسیون انتقال ملایم']"
104,"['آزاد سازی تجاری', ' سازمان همکاری شانگهای', ' تعادل عمومی قابل محاسبه (CGE) ', ' پروژه تحلیل تجارت جهانی (GTAP)']"
105,"['تعادل عمومی پویای تصادفی', ' سیاست بهینه پولی رمزی', ' خانوارهای ریکاردویی و غیرریکاردویی']"
106,"['فرار مغزها', ' نابرابری توزیع درآمد', ' کشورهای در حال توسعه', ' مدل پانل آستانه ای']"
107,"['سفته بازی', ' مسکن', ' شوک های برونزا', ' روش MSVAR', ' ایران']"
108,"['تسهیلات سرمایه ای', ' تسهیلات سرمایه در گردش', ' تکانه پولی', ' تکانه مالی', ' الگوی تعادل عمومی تصادفی پویا']"
109,"['رشد اقتصادی', ' سرمایه گذاری در مسکن', ' GMMسری زمانی', ' ایران']"
110,"['توسعه آموزش عالی', ' سال های تحصیل', ' شکاف جنسیتی تحصیل']"
111,"['زنجیره های جهانی ارزش', ' شدت کربن', ' اقتصادسنجی فضایی', ' تجارت ارزش افزوده']"
112,"['اقتصاد دایره ای', ' صنایع غذایی بوشهر', ' خوشه بندی', ' تحلیل تمیز']"
113,"['آب - انرژی', ' رابطه پیوندی', ' مدیریت یکپارچه منابع', ' مدل داده - ستانده دو منطقه ای']"
114,"['حجم پول', ' ثبات تابع تقاضای پول', ' مارکوف سوئیچینگ', ' شاخص دیویزیا']"
115,"['سرمایه انسانی', ' آلودگی هوا', ' GMM سری زمانی', ' منطق فازی']"
116,"['ارزش افزوده اقتصادی', ' سرمایه انسانی', ' نیروی کار', ' هزینه های آموزشی', ' روش خودهمبسته با وقفه-های توزیعی']"
117,"[': ناآرامی اجتماعی', ' فناوری اطلاعات و ارتباطات', ' توزیع درآمد', ' نرخ تورم', ' تولید ناخالص داخلی سرانه']"
118,"['مشارکت در تولید', ' قراردادهای جدید نفتی ایران', ' قراردادهای خدماتی عراق', ' نظام مالی قرارداد']"
119,"['نابرابری درآمد', ' بی ثباتی اقتصاد کلان', ' رهیافت نامتقارن', ' ایران']"
120,"['توسعه مالی', ' بی ثباتی مالی', ' رشد اقتصادی', ' گشتاورتعمیم یافته', ' سری زمانی']"
121,"['قاعده تیلور', ' واکنش بانک مرکزی', ' واکنش دولت', ' رگرسیون کوانتایل', ' شکاف تولید']"
122,"['کنترل ترکیبی', ' منطقه آزاد انزلی', ' توسعه منطقه ای']"
123,"['اثر بازگشتی انرژی', ' مدل فضا حالت', ' پیشرفت تکنولوژی', ' ایران']"
124,"['یارانه پنهان بنزین', ' یارانه معیشتی بنزین', ' مدل داده - ستانده', ' قیمت بنزین و ایران']"
125,"['نرخ ارز', ' درآمدهای نفتی', ' پیش بینی', ' مدل های سری زمانی']"
126,"['پرتفوی بهینه', ' سرمایه گذاری', ' تعادل عمومی پویایی تصادفی', ' شوک های تصادفی', ' واکنش های آنی']"
127,"['سیستم بانکی', ' الگوی اقتصادسنجی کلان ساختاری', ' تولید', ' نرخ سود سپرده بانکی']"
128,"['تمرکززدایی مالی ترکیبی', ' تحلیل مؤلفه های اصلی', ' الگوی رگرسیون انتقال ملایم تابلویی']"
129,"['دموکراسی', ' شاخص ادراک فساد', ' سرمایه گذاری مستقیم خارجی', ' کشورهای غرب و شرق آسیا', ' روش گشتاورهای تعمیم یافته']"
130,"['کنترل فساد', ' نهادهای رسمی', ' کارآفرینی', ' منطقه منا']"
131,"['پیچیدگی اقتصادی', ' عملکرد زیست محیطی', ' منحنی کوزنتس']"
132,"['الگوی خودتوضیح برداری ساختاری', ' رشد اقتصادی', ' قیمت صادرات', ' گراف های جهت دار غیرمدور']"
133,"['خالص کمک های رسمی توسعه ای دوجانبه', ' شاخص توسعه انسانی', ' آسیا', ' حداقل مربعات کاملا اصلاح شده']"
134,"['فرضیه EKC', ' تخریب محیط زیست', ' مصرف انرژی', ' هم انباشتگی مکی']"
135,"['شاخص دینسر و ایچنگرین', ' شفافیت', ' بانک مرکزی', ' نرخ ارز', ' نوسانات']"
136,"['نظام ملی نوآوری', ' تحلیل پوششی داده های دو مرحله ای', ' خلق ابداعات و اختراعات', ' تجاری سازی ابداعات و اختراعات', ' مدل توبیت']"
137,"['تحریم های اقتصادی', ' سازمان ملل', ' ایالات متحده', ' شاخص فلاکت']"
138,"['تابع تقاضای مارشال', ' ARDL (خودرگرسیون با وقفه های توزیعی) ', ' مصرف انرژی', ' باز بودن تجارت', ' نوآوری در فناوری']"
139,"['درآمدهای نفتی', ' نرخ ارز', ' شاخص بازار سهام', ' مطالبات بانکی', ' الگوی ۳ SLS']"
140,"['عبور نرخ ارز', ' نوسانات تصادفی', ' مدل خودرگرسیون برداری با پارامترهای متغیر در طی زمان', ' تورم', ' تجزیه واریانس تاریخی']"
141,"['خود رگرسیون با وقفه های توزیعی غیرخطی پانلی', ' اثرات نامتقارن', ' قیمت نفت', ' مطالبات غیرجاری']"
142,"['اندازه دولت', ' رشد اقتصادی', ' علیت گرنجر', ' مارکوف سوئیچینگ', ' ایران']"
143,"['اقتصاد دانش بنیان', ' شاخص اقتصاد دانش بنیان منطقه ای', ' خوشه بندی', ' الگوریتمc-means فازی', ' الگوریتم k-means']"
144,"['توسعه منطقه ای', ' شاخص CIRD', ' تمرکززدایی مالی', ' روش تحلیل مؤلفه اصلی دو مرحله ای (PCA) و روش حداقل مربعات دو مرحله ای با جزء خطا (EC ۲ SLS)']"
145,"['تنظیم گری', ' دولت', ' بورس کالا', ' مچینگ']"
146,"['آموزش عالی', ' کارآیی آموزش', ' توسعه پایدار']"
147,"['سرمایه گذاری مستقیم خارجی', ' توسعه پایدار', ' کشورهای درحال توسعه', ' کشورهای دارای بازارهای نوظهور']"
148,"['صادرات', ' یارانه ضمنی', ' حامل انرژی', ' داده - ستانده']"
149,"['پیش بینی', ' رشد اقتصادی', ' مدل فضا- حالت', ' مدل عاملی', ' متوسط گیری الگوی پویا']"
150,"['رویکرد داده-ستانده', ' بخش های کلیدی ملی', ' بخش های کلیدی استانی', ' ساختار اقتصاد ایران']"
151,"['مخارج دولت', ' اقتصاد سنجی فضایی', ' همگرایی رشد', ' سرمایه انسانی']"
152,"['توسعه مالی', ' قیمت نفت', ' رانت نفت', ' رگرسیون غلتان']"
153,"['پانل پروبیت کسری', ' متغیرهای واکنشی کسری در بازه صفر و یک', ' ضریب جینی', ' اقتصاد منطقه ای']"
154,"['ایران', ' چرخه اعتباری', ' چرخه تجاری', ' هم حرکتی', ' روش خودرگرسیونی برداری ساختاری (SVAR)']"
155,"['گذر نرخ ارز', ' درجه واردات محوری', ' درجه صادرات محوری', ' محدودیت مالی']"
156,"['تورم', ' پول درونزا', ' پایه پولی', ' نقدینگی', ' علیت طیفی']"
157,"['فرار سرمایه', ' روش باقیمانده ها', ' اقتصاد ایران']"
158,"['کیفیت نهادی', ' تکانه های نفتی', ' کشور صادرکننده نفت', ' الگوی تعادل عمومی پویای تصادفی', ' ایران.']"
159,"['سرمایه انسانی', ' دانش', ' پیچیدگی اقتصادی', ' اقتصاد ایران']"
160,"['کمیت فرزندان', ' کیفیت فرزندان', ' مشخصه های والدین', ' خانواده های ایرانی']"
161,"['سوءتغذیه', ' رشد اقتصادی', ' مخارج بهداشتی', ' ARDL', ' ایران']"
162,"['تقاضای آب', ' داده های ترکیبی', ' جمعیت']"
163,"['تنظیم', ' سقف قیمت', ' شرکتهای آب و فاضلاب شهری', ' ایران', ' عامل x', ' کیفیت']"
164,"['مرگ ومیر', ' آلودگی هوا', ' قلبی-عروقی', ' تنفسی', ' سرطان', ' گوارشی']"
165,"['طرح تحول سلامت', ' هزینه های تحمل ناپذیر', ' زایش فقر', ' شبه پنل', ' چرخه زندگی']"
166,"['سرمایه گذاری مستقیم خارجی', ' شکاف تکنولوژی', ' رگرسیون آستانه ای پانل']"
167,"['سرمایه گذاری مستقیم خارجی', ' رشد اقتصادی', ' اشتغال', ' مدل غیرخطی']"
168,"['قاچاق کالا', ' اشتغال', ' ایران', ' شاخص چندگانه- علل چندگانه (MIMIC) ', ' آزمون کرانه ای خودرگرسیون برداری با وقفه های گسترده (ARDL Bounding test)']"
169,"['فساد اداری', ' فساد مالی', ' معیارهای سلامت مالی', ' حق الوکاله']"
170,['اقتصاد نهادی\nاقتصاد شناختی\nباورخودکارآمدی']
171,"['رشد اقتصادی', ' نابرابری درآمدی', ' نرخ بازدهی سرمایه']"
172,"['بار نظامی', ' درآمدهای نفتی', ' رشد اقتصادی', ' سرمایه گذاری خصوصی', ' همدوسی موجکی', ' ایران']"
173,"['رشد اقتصادی ایران', ' سرمایه گذاری مستقیم خارجی', ' درآمد های انتقالی', ' کمک رسمی توسعه ای']"
174,"['سیکل های تجاری', ' قیمت دارایی ها', ' مدل غیرخطی', ' رگرسیون انتقال هموار']"
175,"['کارآیی فاصله ای', ' کارآیی خوش بینانه', ' کارآیی بدبینانه', ' رتبه بندی', ' سودآوری', ' کشاورزی']"
176,"['یکسان سازی نرخ ارز', ' خط فقر درونزا', ' شاخص فقر FGT', ' مدل تعادل عمومی قابل محاسبه (CGE)']"
177,"['اقتصاد سایه', ' تأثیر نامتقارن', ' مدل NARDL']"
178,['توسعه مالی\nرشد صنعتی\nاندازه بنگاه\nروش GMM']
179,"['مخارج دولت', ' درآمد مالیاتی', ' درآمد نفتی', ' همجمعی آستانه', ' تصحیح خطای نامتقارن']"
180,"['اندازه گیری فقر', ' فقر پویا', ' داده های تابلویی ترکیبی', ' مناطق شهری', ' ایران']"
181,"['مخارج دولت', ' مالیات', ' ضریب فزاینده سیاست مالی', ' مدل مارکوف سوئیچینگ', ' ادوار تجاری']"
182,"['تحلیل پوششی داده های فازی', ' داده های غیر دقیق', ' کارآیی زیست محیطی کربن', ' کشورهای نفتی']"
183,['دسترسی به فناوری اطلاعات و ارتباطات\nنابرابری درآمد\nگشتاورهای تعمیم یافته پویا']
184,"['بهره وری نیروی کار', ' تمرکز جغرافیایی', ' توزیع سطح تحصیلات شاغلان', ' داده های تابلویی']"
185,['رجحان های بانک مرکزی\nقاعده پولی بهینه\nکنترل بهینه\nبرنامه ریزی پویا خطی درجه دو\nاقتصاد ایران']
186,"['توسعه مالی', ' رشد اقتصادی', ' مدل های پویای ساختاری با پارامترهای متغیر']"
187,"['بیش حساسیت', ' فرضیه درآمد دائمی', ' هموارسازی مصرف', ' محدودیت نقدینگی', ' داده های بودجه خانوار']"
188,['ثبات بانکی\nسرمایه اجتماعی\nSYS-GMM']
189,"['دموکراسی', ' امنیت حقوق مالکیت', ' فساد مالی']"
190,"['ایران', ' پیش بینی', ' رشد کشاورزی', ' رگرسیون با داده های ترکیبی', ' مدل ARDL']"
191,['بازار نفت\nنظریه بازی\nاوپک\nنرخ تنزیل آتی']
192,"['توسعه صنعتی', ' فراگیری', ' پایداری', ' روش همگرایی']"
193,"['سیاست پولی', ' الگوسازی کلان به خرد', ' ضریب جینی', ' توزیع درآمد']"
194,"['پرداخت های کارتی', ' توسعه مالی', ' داده های پانل', ' استان ها']"
195,"['قیمت انرژی', ' سرمایه گذاری مستقیم خارجی', ' شدت انرژی', ' شکست ساختاری', ' ایران']"
196,"['شدت صادرات', ' مالکیت خصوصی', ' نرخ ارز حقیقی', ' صنایع تولیدکننده وسایل حمل و نقل ایران', ' رویکرد گشتاورهای تعمیم یافته پویا (GMM)']"
197,"['امنیت اقتصادی', ' ساختار سنی جمعیت', ' روش فازی', ' GMM']"
198,"[': رفتار اخلاقی', ' تئوری انتخاب عقلانی', ' مدل رفتاری جدید', ' شواهد تجربی', ' کمک های انسان دوستانه زمانی']"
199,"['نوسانات نرخ ارز مؤثر واقعی', ' ارزش افزوده بخشهای اقتصادی', ' تکنیک مارکوف- سوئیچینگ', ' داده های تابلویی', ' تکنیک متوسط درون مقطعی ترکیب شده', ' استان آذربایجان شرقی']"
200,"['بدهی دولت', ' رشد اقتصادی', ' کسری بودجه', ' فضای مالی']"
